--------- beginning of main
08-17 12:19:15.181 W/ReactNativeJS( 2640): Require cycle: src/features/navigation/sectionRegistry.ts -> src/features/i18n/featureUiCatalog.ts -> src/features/i18n/uiI18n.ts -> src/features/i18n/uiStringCatalog.ts -> src/features/navigation/sectionRegistry.ts
08-17 12:19:15.181 W/ReactNativeJS( 2640): 
08-17 12:19:15.181 W/ReactNativeJS( 2640): Require cycles are allowed, but can result in uninitialized values. Consider refactoring to remove the need for a cycle.
08-17 12:19:16.563 I/ReactNativeJS( 2640): '[VoIP] WebRTC module loaded', { module: 'react-native-webrtc',
08-17 12:19:16.563 I/ReactNativeJS( 2640):   hasPeerConnection: true,
08-17 12:19:16.563 I/ReactNativeJS( 2640):   hasMediaDevices: true }
08-17 12:19:17.371 W/ReactNativeJS( 2640): This method is deprecated (as well as all React Native Firebase namespaced API) and will be removed in the next major release as part of move to match Firebase Web modular SDK API. Please see migration guide for more details: https://rnfirebase.io/migrating-to-v22 Please use `getApps()` instead.
08-17 12:19:17.391 W/ReactNativeJS( 2640): This method is deprecated (as well as all React Native Firebase namespaced API) and will be removed in the next major release as part of move to match Firebase Web modular SDK API. Please see migration guide for more details: https://rnfirebase.io/migrating-to-v22 Please use `initializeApp()` instead.
08-17 12:19:17.404 W/ReactNativeJS( 2640): This method is deprecated (as well as all React Native Firebase namespaced API) and will be removed in the next major release as part of move to match Firebase Web modular SDK API. Please see migration guide for more details: https://rnfirebase.io/migrating-to-v22 Please use `getApps()` instead.
08-17 12:19:17.417 W/ReactNativeJS( 2640): This method is deprecated (as well as all React Native Firebase namespaced API) and will be removed in the next major release as part of move to match Firebase Web modular SDK API. Please see migration guide for more details: https://rnfirebase.io/migrating-to-v22 Please use `getApp()` instead.
08-17 12:19:17.606 I/ReactNativeJS( 2640): Running "main" with {"rootTag":1,"initialProps":{},"fabric":true}
08-17 12:19:22.876 I/ReactNativeJS( 2640): '[UI_PRESS_PROBE]', '{"event":"NETWORK_TRANSPORT_CHANGED","timestamp":"2026-08-17T03:19:22.873Z","token_ready":false,"user_ready":false,"show_login":false,"show_voip_tester":false,"selected_call_mode":"pstn_assist","transport":"unknown","cellular_generation":null,"label":"알 수 없음","is_connected":false,"is_internet_reachable":null,"carrier":null,"ssid":null,"is_accurate_voip_test_ready":false,"previous_label":null}'
08-17 12:19:22.991 I/ReactNativeJS( 2640): '[WORLDLINGCO_API] base_url', 'https://metanova1004.com'
08-17 12:19:23.115 I/ReactNativeJS( 2640): [VoIPToneService] AudioContext not available (React Native environment)
08-17 12:19:23.322 I/ReactNativeJS( 2640): '[UI_PRESS_PROBE]', '{"event":"SORISAE_FAB_VISIBLE_EVAL","timestamp":"2026-08-17T03:19:23.319Z","token_ready":false,"user_ready":false,"show_login":false,"show_voip_tester":false,"selected_call_mode":"pstn_assist","visible":false,"platform":"android","sorisae_fab_setting":true,"pending_incoming_voip":false,"voip_call_active":false,"sorisae_window_open":false}'
08-17 12:19:23.371 I/ReactNativeJS( 2640): '[FACE_CONVERSATION]', '{"event":"silero_probe","supported":false}'
08-17 12:19:24.485 I/ReactNativeJS( 2640): '[WORLDLINGCO_TUNING]', '{"event":"remote_loaded","updated_at":"2026-08-14T06:06:31Z","version":6}'
08-17 12:19:44.035 I/ReactNativeJS( 2640): '[UI_PRESS_PROBE]', '{"event":"LOGIN_BUTTON_PRESS","timestamp":"2026-08-17T03:19:44.032Z","token_ready":false,"user_ready":false,"show_login":false,"show_voip_tester":false,"selected_call_mode":"pstn_assist","source":"header_account_row"}'
08-17 12:19:51.549 I/ReactNativeJS( 2640): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_FOCUS","timestamp":"2026-08-17T03:19:51.547Z","show_login":true,"focus_field":"NONE","email_length":0,"password_length":0}'
08-17 12:20:03.797 I/ReactNativeJS( 2640): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:20:03.796Z","show_login":true,"focus_field":"EMAIL","email_length":11,"password_length":0,"next_length":15}'
08-17 12:20:03.800 I/ReactNativeJS( 2640): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:20:03.798Z","show_login":true,"focus_field":"EMAIL","email_length":11,"password_length":0,"next_length":16}'
08-17 12:20:03.802 I/ReactNativeJS( 2640): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:20:03.801Z","show_login":true,"focus_field":"EMAIL","email_length":11,"password_length":0,"next_length":17}'
08-17 12:20:03.805 I/ReactNativeJS( 2640): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:20:03.803Z","show_login":true,"focus_field":"EMAIL","email_length":11,"password_length":0,"next_length":18}'
08-17 12:20:03.807 I/ReactNativeJS( 2640): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_CHANGE","timestamp":"2026-08-17T03:20:03.806Z","show_login":true,"focus_field":"EMAIL","email_length":11,"password_length":0,"next_length":19}'
08-17 12:20:07.518 I/ReactNativeJS( 2640): '[AUTH_INPUT_PROBE]', '{"event":"EMAIL_BLUR","timestamp":"2026-08-17T03:20:07.514Z","show_login":true,"focus_field":"EMAIL","email_length":19,"password_length":0}'
08-17 12:20:07.521 I/ReactNativeJS( 2640): '[AUTH_INPUT_PROBE]', '{"event":"PASSWORD_FOCUS","timestamp":"2026-08-17T03:20:07.519Z","show_login":true,"focus_field":"EMAIL","email_length":19,"password_length":0}'
08-17 12:20:18.673 I/ReactNativeJS( 2640): '[AUTH_INPUT_PROBE]', '{"event":"PASSWORD_CHANGE","timestamp":"2026-08-17T03:20:18.671Z","show_login":true,"focus_field":"PASSWORD","email_length":19,"password_length":0,"next_length":1}'
08-17 12:20:19.266 I/ReactNativeJS( 2640): '[AUTH_INPUT_PROBE]', '{"event":"PASSWORD_CHANGE","timestamp":"2026-08-17T03:20:19.264Z","show_login":true,"focus_field":"PASSWORD","email_length":19,"password_length":1,"next_length":2}'
08-17 12:20:19.270 I/ReactNativeJS( 2640): '[AUTH_INPUT_PROBE]', '{"event":"PASSWORD_CHANGE","timestamp":"2026-08-17T03:20:19.268Z","show_login":true,"focus_field":"PASSWORD","email_length":19,"password_length":1,"next_length":3}'
08-17 12:20:19.273 I/ReactNativeJS( 2640): '[AUTH_INPUT_PROBE]', '{"event":"PASSWORD_CHANGE","timestamp":"2026-08-17T03:20:19.271Z","show_login":true,"focus_field":"PASSWORD","email_length":19,"password_length":1,"next_length":4}'
08-17 12:20:19.275 I/ReactNativeJS( 2640): '[AUTH_INPUT_PROBE]', '{"event":"PASSWORD_CHANGE","timestamp":"2026-08-17T03:20:19.274Z","show_login":true,"focus_field":"PASSWORD","email_length":19,"password_length":1,"next_length":5}'
08-17 12:20:19.278 I/ReactNativeJS( 2640): '[AUTH_INPUT_PROBE]', '{"event":"PASSWORD_CHANGE","timestamp":"2026-08-17T03:20:19.276Z","show_login":true,"focus_field":"PASSWORD","email_length":19,"password_length":1,"next_length":6}'
08-17 12:20:19.859 I/ReactNativeJS( 2640): '[AUTH_INPUT_PROBE]', '{"event":"PASSWORD_CHANGE","timestamp":"2026-08-17T03:20:19.857Z","show_login":true,"focus_field":"PASSWORD","email_length":19,"password_length":6,"next_length":7}'
08-17 12:20:19.861 I/ReactNativeJS( 2640): '[AUTH_INPUT_PROBE]', '{"event":"PASSWORD_CHANGE","timestamp":"2026-08-17T03:20:19.860Z","show_login":true,"focus_field":"PASSWORD","email_length":19,"password_length":6,"next_length":8}'
08-17 12:20:19.863 I/ReactNativeJS( 2640): '[AUTH_INPUT_PROBE]', '{"event":"PASSWORD_CHANGE","timestamp":"2026-08-17T03:20:19.862Z","show_login":true,"focus_field":"PASSWORD","email_length":19,"password_length":6,"next_length":9}'
08-17 12:20:19.866 I/ReactNativeJS( 2640): '[AUTH_INPUT_PROBE]', '{"event":"PASSWORD_CHANGE","timestamp":"2026-08-17T03:20:19.864Z","show_login":true,"focus_field":"PASSWORD","email_length":19,"password_length":6,"next_length":10}'
08-17 12:20:19.868 I/ReactNativeJS( 2640): '[AUTH_INPUT_PROBE]', '{"event":"PASSWORD_CHANGE","timestamp":"2026-08-17T03:20:19.867Z","show_login":true,"focus_field":"PASSWORD","email_length":19,"password_length":6,"next_length":11}'
08-17 12:20:19.870 I/ReactNativeJS( 2640): '[AUTH_INPUT_PROBE]', '{"event":"PASSWORD_CHANGE","timestamp":"2026-08-17T03:20:19.869Z","show_login":true,"focus_field":"PASSWORD","email_length":19,"password_length":6,"next_length":12}'
08-17 12:20:19.873 I/ReactNativeJS( 2640): '[AUTH_INPUT_PROBE]', '{"event":"PASSWORD_CHANGE","timestamp":"2026-08-17T03:20:19.871Z","show_login":true,"focus_field":"PASSWORD","email_length":19,"password_length":6,"next_length":13}'
